Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
140.82.113.25:443<->10.3.24.42:443,140.82.113.25,443,10.3.24.42,54531,TCP,2023-09-14 05:12:27.607052,1,1,0,60,0,60,60,60.0,0.0,0,0,0.0,0.0,60.0,1,0.0,0.0,0,0,0,0.0,0.0,1694643869.243096,1694643869.243096,0,0.0,0.0,1694643869.243096,0,0,0,0,0,0,0,1,1,60,60,60.0,0.0,0.0,1,0,0,0,1,0,0,0,1,60.0,6.0,0.0,0,0,0,0,0,0,1.0,60.0,0.0,0.0,70,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
10.3.24.42:54531<->140.82.113.25:54531,10.3.24.42,54531,140.82.113.25,443,TCP,2023-09-14 05:12:27.607052,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1694643869.244054,1694643869.244054,0,0.0,0.0,1694643869.244054,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,1,0,0,0,1,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,509,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
